nombre,posicion_hindex,agricultura_forestal,arte_diseno_cultura,empresariales_administracion,economicas,educacion,ingenieria_tecnologia,historia_filosofia_teologia,leyes_abogacia,ciencias_salud,ciencias_naturales,ciencias_sociales,otros
Universidad Nacional de Educación a Distancia ,57,0,1,1,5,4,23,4,5,0,4,13,71
Universitat Oberta de Catalunya,38,0,5,12,4,9,17,1,5,4,3,39,135
Universidad Politécnica de Madrid,33,26,7,4,1,3,58,1,0,4,19,6,251
Universitat de Barcelona,1,15,6,9,23,21,73,12,16,97,145,70,674
Universidad de Granada ,18,0,3,10,8,11,19,12,15,14,27,39,249
Universidad de Málaga ,55,2,0,14,2,3,14,3,11,7,6,22,229
Universidad de Salamanca ,15,9,4,12,17,23,58,19,18,95,109,77,474
Universitat Abat Oliba CEU ,31,0,0,5,2,0,0,2,6,0,0,7,18
Universidad Alfonso X El Sabio ,26,0,0,0,1,0,0,0,0,6,3,4,21
Instituto Superior de Enseñanzas Artísticas de la Comunitat Valenciana ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Universitat Autónoma de Barcelona,51,3,2,8,2,4,7,3,5,10,13,18,91
Universidad Autónoma de Madrid ,6,10,0,16,29,20,97,31,11,40,185,117,236
Universidad Camilo José Cela ,-1,0,0,0,0,0,0,0,0,0,0,0,39
Universidad Cardenal Herrera-CEU ,73,0,0,6,0,0,1,1,2,4,2,0,37
Universidad Carlos III de Madrid ,40,0,1,38,51,5,157,12,11,3,56,27,175
Universidad Católica Santa Teresa de Jesús de Ávila ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Universidad CEU San Pablo ,44,0,1,2,4,0,4,1,2,8,5,1,37
Universidad Pontificia Comillas ,24,0,0,2,0,0,1,1,3,1,0,1,32
Universidad Complutense de Madrid ,5,12,6,64,63,29,218,86,24,309,377,196,562
CUNEF Universidad,-1,0,0,0,0,0,39,-1,-1,-1,-1,-1,-1
Conservatorio Superior de Música Eduardo Martínez Torner ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ESIC Universidad,-1,0,0,0,0,0,0,0,0,0,0,0,40
"Instituto Europeo di Design, Madrid ",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Universidad Europea de Madrid ,20,0,0,1,0,0,1,0,1,2,1,1,9
Universidad Europea del Atlántico ,27,0,0,0,1,0,1,1,0,5,0,3,30
Universidad Europea de Canarias,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Universidad Europea de Valencia,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Universidad Francisco de Vitoria ,13,0,0,2,1,1,0,1,0,14,11,2,56
IE Universidad,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Universidad Internacional Menéndez Pelayo ,128,0,0,0,0,0,0,0,0,0,0,0,5
Universidad Internacional de Andalucía ,57,1,0,0,0,0,0,0,0,0,0,0,5
Universitat Internacional de Catalunya,8,0,1,1,1,1,3,0,1,14,1,4,51
Universidad Internacional de La Rioja,5,0,1,9,4,18,11,1,8,7,7,17,131
Universidad Internacional de Valencia,84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Universitat Jaume I,14,3,2,26,18,11,39,7,4,7,49,27,252
Conservatorio Superior de Música Joaquín Rodrigo de Valencia ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Conservatorio Superior de Música Juan Crisóstomo de Arriaga de Bilbao,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Universidad Rey Juan Carlos ,39,5,1,25,14,7,43,6,13,11,16,21,187
Universidad Loyola Andalucía,7,1,0,3,5,1,4,2,1,2,0,11,28
Conservatorio Superior de Música Manuel Castillo de Sevilla ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Conservatorio Superior de Musica de Murcia Manuel Massotti Littel,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Universidad Europea Miguel de Cervantes ,47,0,0,4,0,0,0,0,0,2,1,2,29
Universidad Miguel Hernández de Elche ,-1,0,0,0,0,0,0,0,0,0,0,0,32
Conservatorio Superior de Música da Coruña,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Conservatorio Superior de Música de Aragón ,63,0,0,0,0,0,0,0,0,0,0,0,1
Conservatorio Superior de Música Bonifacio Gil,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Conservatorio Superior de Música de Málaga,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Conservatorio Superior de Música de Navarra,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Conservatorio Superior de Música de Castilla y León,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Conservatori Superior de Música de les Illes Balears ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Conservatorio Superior de Música de Canarias ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Conservatori Superior de Música del Liceu,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Conservatorio Superior de Música de Vigo,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Escola Superior de Música de Catalunya,59,0,5,0,0,0,0,0,0,0,0,0,5
Musikene - Centro Superior de Música del País Vasco,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Universidad Antonio de Nebrija ,66,0,3,6,1,3,2,0,1,2,0,4,54
Universidad a Distancia de Madrid,32,0,1,2,0,2,2,1,5,0,0,4,28
Conservatorio Superior de Música Oscar Esplá de Alicante ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Universidad Pablo de Olavide ,35,7,0,15,26,11,12,6,7,8,34,28,149
Universidad Politécnica de Cartagena ,46,14,2,5,9,0,20,0,1,0,8,3,112
Universitat Politècnica de València ,11,38,22,30,12,2,177,0,0,6,103,20,676
Universitat Pompeu Fabra,4,0,11,33,39,2,58,22,23,23,41,75,148
Universidad Pontificia de Salamanca ,21,0,1,3,0,2,1,1,0,0,0,8,30
Universidad Pública de Navarra ,34,9,0,12,12,5,26,2,1,13,16,15,151
Conservatorio Superior de Música de Córdoba Rafael Orozco,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Universitat Ramon Llull ,32,1,3,10,2,7,22,2,0,6,15,18,54
Universitat Rovira i Virgili,9,0,1,14,9,14,69,9,4,26,31,47,152
Real Escuela Superior de Arte Dramático ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Real Conservatorio Superior de Música de Madrid,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Universidad Católica de Valencia San Vicente Mártir ,22,0,0,2,1,1,2,1,0,6,2,4,32
Universidad Católica San Antonio de Murcia ,9,1,1,5,0,2,10,0,1,16,4,6,59
Universidad San Jorge,25,0,0,4,0,0,8,2,2,6,3,2,16
Escola Superior de Conservación e Restauración de Bens Culturais de Galicia,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Escuela Superior de Arte Dramático de Murcia ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Escuela Superior de Arte Dramático de Sevilla ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Escuela Superior de Arte Dramático de Valencia ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Institut del Teatre,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Universitat Politècnica de Catalunya - BarcelonaTech,52,2,11,10,1,0,191,4,0,3,79,6,201
Universidad Isabel I,91,0,0,1,0,1,1,1,0,0,0,2,25
Universidade da Coruña ,41,7,5,10,13,14,63,6,7,17,35,30,200
Universidad de Alcalá ,31,6,3,4,22,3,57,9,4,27,53,34,223
Universidad de Alicante,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Universidad de Almería ,42,4,0,4,2,1,7,0,0,0,10,5,42
Universidad de Burgos ,47,0,0,5,5,4,23,2,1,8,22,5,102
Universidad de Cádiz ,39,4,1,13,6,20,63,15,13,36,82,42,360
Universidad de Cantabria ,10,1,2,13,12,8,54,13,2,12,40,10,188
Universidad de Castilla-La Mancha ,28,0,1,6,4,0,8,4,7,5,2,8,106
Universidad de Córdoba ,24,21,1,2,4,4,20,7,6,14,28,23,136
Universidad de Deusto ,90,0,1,4,3,1,4,2,4,0,1,5,52
Universidad de Extremadura ,25,11,1,16,12,21,35,7,3,24,49,27,211
Universitat de Girona,30,6,0,5,5,5,43,2,8,6,31,30,145
Universidad de Huelva ,44,5,0,5,2,17,20,12,6,7,9,34,105
Universidad de Jaén ,85,5,0,7,8,19,34,5,4,21,35,34,220
Universidad de La Laguna ,22,5,2,9,12,13,28,9,1,47,72,39,233
Universidad de La Rioja ,36,0,1,6,2,6,7,4,2,2,17,10,65
Universidad de Las Palmas de Gran Canaria ,27,4,1,11,14,10,63,9,5,25,38,39,158
Universidad de León ,61,4,0,6,4,3,8,1,2,9,9,9,115
Universitat de Lleida,23,22,0,4,1,11,18,3,2,10,18,14,95
Mondragón Unibertsitatea ,65,0,0,1,0,0,13,0,0,0,0,2,32
Universidad de Murcia ,21,11,2,12,22,32,39,18,5,79,77,53,343
Universidad de Navarra ,12,3,3,26,13,6,9,15,11,77,26,18,224
Universidad de Oviedo ,16,9,4,14,41,17,109,3,16,27,70,44,303
Universidad de Santiago de Compostela ,3,28,4,15,13,12,55,20,10,56,119,67,290
Universidad de Sevilla ,8,16,16,65,35,47,158,32,19,148,191,103,862
Universitat de les Illes Balears,13,3,1,3,14,12,25,8,2,28,40,30,124
Universidad del País Vasco - Euskal Herriko Unibertsitatea ,17,6,1,16,18,11,58,14,7,36,82,48,267
Universitat de València,2,8,1,34,33,31,40,18,17,69,141,72,382
Universidad de Valladolid ,-1,13,10,18,12,31,65,17,7,39,76,35,352
Universitat de Vic-Universitat Central de Catalunya ,62,2,0,5,1,1,8,2,0,8,7,6,63
Universidad de Vigo ,23,10,0,17,15,8,86,3,1,11,55,18,241
Universidad de Zaragoza ,7,8,9,31,54,22,119,15,15,44,94,64,560
Real Conservatorio Superior de Música Victoria Eugenia de Granada ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
